Human Computer Interaction Institute	Pittsburgh	US
University Calgary	Calgary	Canada
University of Eastern Finland	Joensuu	Finland
IBM	Boca Raton	US
independent scholar	Honolulu	US
Sony Computer Entertainment	London	UK
TinkerStories	Boston	US
aKAP Innovation, LLC	Rochester	US
University of Puget Sound	Tacoma	US
National Research Foundation	Pretoria	South Africa
University of California, San Diego	La Jolla	US
University College Dublin	Dublin	Ireland
University of North Carolina-Chapel Hill	Chapel Hill	US
Osaka University Dental Hospital	Suita	Japan
IUPUI	Indianapolis	US
CASED	Darmstadt	Germany
DFKI GmbH	Saarbrucken	Germany
Institute for Design and Assessment of Technology	Vienna	Austria
California College of the Arts	San Francisco	US
EECS, UC Berkeley	Berkeley	US
Harvey Mudd College	Claremont	US
City University, London	London	UK
